time_period,period_end_time,high,low,last,volume,spread,midpoint,liquidity_bid,liquidity_ask,volatility_mid_1min,volatility_mid_3min,volatility_last_1min,volatility_last_3min
1.0,60000000.0,,,,0.0,1.079999999999984,283.22,234.71562558000002,27.585046929999997,,,,
2.0,120000000.0,,,,0.0,1.329999999999984,282.975,236.41728785,40.91204693,,,,
3.0,180000000.0,,,,0.0,1.4699999999999704,282.905,316.64217643,62.762046930000004,,,,
4.0,240000000.0,,,,0.0,1.1399999999999864,282.64,313.17818738,42.90604693,,,,
5.0,300000000.0,,,,0.0,1.0,282.56,311.18204926999994,18.415046930000003,,,,
6.0,360000000.0,282.85,282.02,282.85,0.49103764,0.9300000000000068,282.495,313.77109040999994,30.55536787000001,,,,
7.0,420000000.0,282.03,282.02,282.02,1.9156451900000002,0.8000000000000114,282.4,140.62504926999998,87.56336787000002,,,,
8.0,480000000.0,282.03,282.02,282.02,0.0,0.9200000000000159,282.46000000000004,308.08604927000005,6.36615808,,,,
9.0,540000000.0,282.03,282.02,282.02,0.0,0.8100000000000023,282.405,141.15104927,43.05936787,,,,
10.0,600000000.0,282.03,282.02,282.02,0.0,0.6999999999999886,282.35,109.16004927,25.379367870000006,,,,
11.0,660000000.0,282.03,282.02,282.02,0.0,0.8000000000000114,282.40999999999997,146.14504628999998,25.379367870000006,,,,
12.0,720000000.0,282.03,282.02,282.02,0.0,1.1299999999999955,283.065,205.02463386,25.379367870000003,0.00035770305425152,,,
13.0,780000000.0,282.03,282.02,282.02,0.0,0.8299999999999841,283.03499999999997,125.97509855,16.379367870000003,0.0008197449125280908,,,
14.0,840000000.0,282.62,282.17,282.17,1.1842133,1.0900000000000318,282.815,313.86604927,25.379367870000003,0.0008160128905328521,0.0014273052826842664,,
15.0,900000000.0,282.27,282.27,282.27,0.91764519,0.9200000000000159,282.70000000000005,234.06304927,16.379367870000003,0.0007980116977526128,0.0013589805896146421,,
16.0,960000000.0,285.08,282.24,282.24,0.35954898,0.839999999999975,282.65999999999997,236.39027478,26.774605840000007,0.0008041956989617633,0.0013389268989013243,,
17.0,1020000000.0,285.08,282.24,282.24,0.0,0.9200000000000159,282.48,311.61847023,25.379367870000003,0.0008015482157609045,0.0013244413947525139,0.0009255504950570315,
18.0,1080000000.0,285.08,282.24,282.24,0.0,0.82000000000005,282.44,147.56204927,25.379367870000006,0.0008211873544744086,0.0013537638332801808,0.00018945895652168105,
19.0,1140000000.0,285.08,282.24,282.24,0.0,1.1000000000000227,282.56,316.46804927,87.66515808,0.0008201315105096614,0.0013845787169384865,0.00018945895652168105,0.001016148641239443
20.0,1200000000.0,285.08,282.24,282.24,0.0,0.9599999999999795,282.48,312.0410492699999,25.379367870000006,0.000826965837510195,0.0013856331882284997,0.00018945895652168105,0.00034675890364984605
21.0,1260000000.0,285.08,282.24,282.24,0.0,1.0,282.51,321.5952373699999,24.288788830000005,0.0008300561950044844,0.0013834022214854022,0.00018945895652168105,0.00034675890364984605
22.0,1320000000.0,285.08,282.24,282.24,0.0,1.1299999999999955,282.575,308.9642373699999,117.42978883,0.0008285399393846506,0.0013809243055373723,0.00018945895652168105,0.00034675890364984605
23.0,1380000000.0,285.08,282.24,282.24,0.0,2.0600000000000023,283.16999999999996,415.90326944000003,142.88709383,0.00035374227286975315,0.0011711456492892844,0.00018945895652168105,0.00034675890364984605
24.0,1440000000.0,285.08,282.24,282.24,0.0,1.1899999999999977,282.93499999999995,314.23965833,24.381367870000005,0.0007714068209134917,0.0011747152247637866,0.00018945895652168105,0.00034675890364984605
25.0,1500000000.0,285.08,282.24,282.24,0.0,2.3099999999999454,283.375,413.48676681,174.86164682999998,0.0007771740904911557,0.0011839837534113576,0.00011433998278721736,0.0003376650451404997
26.0,1560000000.0,285.08,282.24,282.24,0.0,1.0199999999999818,282.75,317.00465833,16.379367870000003,0.0008798065610453802,0.0013911206886307273,3.188436603249306e-05,0.00024421021678623704
27.0,1620000000.0,285.08,282.24,282.24,0.0,1.089999999999975,282.79499999999996,323.58165833,18.553367870000002,0.001146526660423709,0.0014106199986592986,0.0,8.41590628185116e-05
28.0,1680000000.0,285.08,282.24,282.24,0.0,0.8600000000000136,282.8,320.5696583299999,42.04536787000001,0.0011247203171788703,0.0013512894903186842,0.0,3.188436603249306e-05
29.0,1740000000.0,283.69,283.38,283.69,19.55848,1.8800000000000523,283.78,394.72123737,175.17900085,0.001122139659496064,0.0014918936318018229,0.0,0.0
30.0,1800000000.0,283.69,283.38,283.69,0.0,1.490000000000009,283.365,400.968413,132.08857903999998,0.001507221598352927,0.0017785483093102233,0.0015412414965986273,0.0015412414965986273
31.0,1860000000.0,283.69,283.38,283.69,0.0,1.1499999999999773,283.325,318.98023737,88.75557904,0.001601736627044937,0.0018050449062346453,0.0015412414965986273,0.002054988662131503
32.0,1920000000.0,283.69,283.38,283.69,0.0,2.490000000000009,284.865,539.8686097899998,194.64875827999998,0.0016066593530580668,0.0018138173755403483,0.001541241496598627,0.0023542852741234113
33.0,1980000000.0,284.42,284.42,284.42,0.1,0.7400000000000091,284.01,129.53453072000002,6.12226712,0.002226708130555523,0.001956964961059703,0.001541241496598627,0.0023542852741234113
34.0,2040000000.0,284.42,284.42,284.42,0.0,0.8799999999999955,284.06,124.93757287000003,3.95126712,0.002445847998420003,0.0019488103464920304,0.00164528540031592,0.0023120124839408587
35.0,2100000000.0,283.26,283.26,283.26,0.11,1.1200000000000045,283.92,240.57015191,128.03799212,0.0024178665769710533,0.001982108136636335,0.00164528540031592,0.002239578957938308
36.0,2160000000.0,284.5,284.42,284.42,9.09057,2.2099999999999795,284.78499999999997,524.97245782,191.95793426,0.0023979892463616794,0.0023870977769195213,0.0021984037220077724,0.002417793124705509
37.0,2220000000.0,285.75,285.75,285.75,0.12920348000000004,0.8500000000000227,284.455,137.16561618,124.71100675,0.0023898494102733018,0.0023015350588306066,0.002458623544995505,0.002417793124705509
38.0,2280000000.0,285.75,285.75,285.75,0.0,0.6399999999999864,284.36,93.47915808,6.268339770000001,0.002452671712051393,0.002221841158401671,0.002700025273259015,0.0024561639788460037
39.0,2340000000.0,285.75,285.75,285.75,0.0,0.7300000000000182,283.925,140.80191183999997,2.6838507399999996,0.002463101867779529,0.0018880164500554703,0.002700025273259015,0.0029693802842658376
40.0,2400000000.0,284.18,283.18,283.22,2.6168094799999997,0.9399999999999977,283.76,306.48465832999995,107.32615808,0.0023244913619375205,0.0022757075235673636,0.002379348751287123,0.0029431831428822484
41.0,2460000000.0,283.36,283.36,283.36,0.02,1.009999999999991,283.935,307.47565832999993,127.32515808000001,0.0022816497707361795,0.0024963430831490773,0.0037420846085728997,0.004568652162151035
42.0,2520000000.0,283.29,283.29,283.29,1.34680948,0.7799999999999727,283.86,236.34111885999997,7.7539773499999995,0.0022835747689275193,0.0025488688324817083,0.0037471169929129064,0.005318069462594157
43.0,2580000000.0,283.29,283.29,283.29,0.0,0.910000000000025,283.845,316.39772791999997,108.31615808000001,0.001480059251872714,0.0022819370491670935,0.0037471289907368074,0.005978000225738715
