servert,return,case,BTC-USD,BTC-EUR,BCH-USD,BCH-EUR,BCH-BTC
1565913816217000.0,1.00011,2.0,-1.0,0.0,1.0,0.0,-1.0
1565913821304000.0,1.00007,2.0,-1.0,0.0,1.0,0.0,-1.0
1565913963417000.0,1.00009,2.0,-1.0,0.0,1.0,0.0,-1.0
1565913978262000.0,1.00003,2.0,-1.0,0.0,1.0,0.0,-1.0
1565913978322000.0,1.00006,2.0,-1.0,0.0,1.0,0.0,-1.0
1565913978497000.0,1.00013,2.0,-1.0,0.0,1.0,0.0,-1.0
1565913978603000.0,1.00016,2.0,-1.0,0.0,1.0,0.0,-1.0
1565913979430000.0,1.00017,2.0,-1.0,0.0,1.0,0.0,-1.0
1565913979663000.0,1.00008,2.0,-1.0,0.0,1.0,0.0,-1.0
1565914058477000.0,1.00001,1.0,1.0,0.0,-1.0,0.0,1.0
1565914058494000.0,1.00004,1.0,1.0,0.0,-1.0,0.0,1.0
1565914159256000.0,1.00053,2.0,-1.0,0.0,1.0,0.0,-1.0
1565914159256000.0,1.00042,6.0,-1.0,1.0,1.0,-1.0,0.0
1565914159362000.0,1.00056,2.0,-1.0,0.0,1.0,0.0,-1.0
1565914159362000.0,1.00045,6.0,-1.0,1.0,1.0,-1.0,0.0
1565914159533000.0,1.00024,2.0,-1.0,0.0,1.0,0.0,-1.0
1565914159819000.0,1.00011,2.0,-1.0,0.0,1.0,0.0,-1.0
1565914162920000.0,1.00001,6.0,-1.0,1.0,1.0,-1.0,0.0
1565914163970000.0,1.00001,2.0,-1.0,0.0,1.0,0.0,-1.0
1565914194300000.0,1.00022,2.0,-1.0,0.0,1.0,0.0,-1.0
1565914194406000.0,1.00023,2.0,-1.0,0.0,1.0,0.0,-1.0
1565914194769000.0,1.0006,2.0,-1.0,0.0,1.0,0.0,-1.0
1565914283777000.0,1.00033,1.0,1.0,0.0,-1.0,0.0,1.0
1565914288244000.0,1.00009,1.0,1.0,0.0,-1.0,0.0,1.0
1565914297302000.0,1.00009,2.0,-1.0,0.0,1.0,0.0,-1.0
1565914306114000.0,1.00034,1.0,1.0,0.0,-1.0,0.0,1.0
1565914309669000.0,1.0001,2.0,-1.0,0.0,1.0,0.0,-1.0
1565914310536000.0,1.00011,2.0,-1.0,0.0,1.0,0.0,-1.0
1565914311316000.0,1.00012,2.0,-1.0,0.0,1.0,0.0,-1.0
1565914311846000.0,1.00013,2.0,-1.0,0.0,1.0,0.0,-1.0
1565914312543000.0,1.00014,2.0,-1.0,0.0,1.0,0.0,-1.0
1565914313450000.0,1.00015,2.0,-1.0,0.0,1.0,0.0,-1.0
1565914313305000.0,1.00028,2.0,-1.0,0.0,1.0,0.0,-1.0
1565914319400000.0,1.00061,2.0,-1.0,0.0,1.0,0.0,-1.0
1565914323898000.0,1.00005,2.0,-1.0,0.0,1.0,0.0,-1.0
1565914323973000.0,1.00006,2.0,-1.0,0.0,1.0,0.0,-1.0
1565914324424000.0,1.00007,2.0,-1.0,0.0,1.0,0.0,-1.0
1565914325125000.0,1.00008,2.0,-1.0,0.0,1.0,0.0,-1.0
1565914325951000.0,1.00009,2.0,-1.0,0.0,1.0,0.0,-1.0
1565914326910000.0,1.0001,2.0,-1.0,0.0,1.0,0.0,-1.0
1565914327743000.0,1.00031,2.0,-1.0,0.0,1.0,0.0,-1.0
1565914328523000.0,1.00003,2.0,-1.0,0.0,1.0,0.0,-1.0
1565914450200000.0,1.00015,2.0,-1.0,0.0,1.0,0.0,-1.0
1565914617170000.0,1.00016,1.0,1.0,0.0,-1.0,0.0,1.0
1565914617227000.0,1.00017,1.0,1.0,0.0,-1.0,0.0,1.0
1565914617297000.0,1.00049,1.0,1.0,0.0,-1.0,0.0,1.0
1565914617310000.0,1.0005,1.0,1.0,0.0,-1.0,0.0,1.0
1565914618149000.0,1.00051,1.0,1.0,0.0,-1.0,0.0,1.0
1565914619411000.0,1.00052,1.0,1.0,0.0,-1.0,0.0,1.0
1565914622479000.0,1.00053,1.0,1.0,0.0,-1.0,0.0,1.0
1565914623859000.0,1.00047,1.0,1.0,0.0,-1.0,0.0,1.0
1565914645181000.0,1.00043,1.0,1.0,0.0,-1.0,0.0,1.0
1565914645522000.0,1.00033,1.0,1.0,0.0,-1.0,0.0,1.0
1565914645683000.0,1.00008,1.0,1.0,0.0,-1.0,0.0,1.0
1565914708222000.0,1.00027,1.0,1.0,0.0,-1.0,0.0,1.0
1565914767909000.0,1.00014,1.0,1.0,0.0,-1.0,0.0,1.0
1565914768895000.0,1.00024,1.0,1.0,0.0,-1.0,0.0,1.0
1565914816263000.0,1.00028,1.0,1.0,0.0,-1.0,0.0,1.0
1565914817473000.0,1.00038,1.0,1.0,0.0,-1.0,0.0,1.0
1565914817803000.0,1.00003,1.0,1.0,0.0,-1.0,0.0,1.0
1565914818300000.0,1.00021,1.0,1.0,0.0,-1.0,0.0,1.0
1565914818312000.0,1.00025,1.0,1.0,0.0,-1.0,0.0,1.0
1565914818429000.0,1.00031,1.0,1.0,0.0,-1.0,0.0,1.0
1565914818651000.0,1.00034,1.0,1.0,0.0,-1.0,0.0,1.0
1565914925571000.0,1.00009,1.0,1.0,0.0,-1.0,0.0,1.0
1565914938517000.0,1.00008,1.0,1.0,0.0,-1.0,0.0,1.0
1565914938549000.0,1.00015,1.0,1.0,0.0,-1.0,0.0,1.0
1565915009564000.0,1.00019,1.0,1.0,0.0,-1.0,0.0,1.0
1565915304586000.0,1.00006,1.0,1.0,0.0,-1.0,0.0,1.0
1565915305588000.0,1.00012,1.0,1.0,0.0,-1.0,0.0,1.0
1565915305713000.0,1.00028,1.0,1.0,0.0,-1.0,0.0,1.0
1565915305952000.0,1.00038,1.0,1.0,0.0,-1.0,0.0,1.0
1565915305972000.0,1.00041,1.0,1.0,0.0,-1.0,0.0,1.0
1565915323500000.0,1.00003,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915323280000.0,1.00006,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915323309000.0,1.0001,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915323565000.0,1.00014,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915323780000.0,1.00017,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915324363000.0,1.00002,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915327480000.0,1.00061,1.0,1.0,0.0,-1.0,0.0,1.0
1565915327480000.0,1.00063,3.0,0.0,1.0,0.0,-1.0,1.0
1565915327491000.0,1.00045,3.0,0.0,1.0,0.0,-1.0,1.0
1565915327499000.0,1.00049,3.0,0.0,1.0,0.0,-1.0,1.0
1565915327563000.0,1.00052,3.0,0.0,1.0,0.0,-1.0,1.0
1565915327577000.0,1.00056,3.0,0.0,1.0,0.0,-1.0,1.0
1565915327631000.0,1.00059,3.0,0.0,1.0,0.0,-1.0,1.0
1565915327700000.0,1.00089,1.0,1.0,0.0,-1.0,0.0,1.0
1565915327729000.0,1.00066,3.0,0.0,1.0,0.0,-1.0,1.0
1565915327752000.0,1.0007,3.0,0.0,1.0,0.0,-1.0,1.0
1565915327796000.0,1.00073,3.0,0.0,1.0,0.0,-1.0,1.0
1565915327827000.0,1.00077,3.0,0.0,1.0,0.0,-1.0,1.0
1565915331168000.0,1.00003,3.0,0.0,1.0,0.0,-1.0,1.0
1565915331181000.0,1.00007,3.0,0.0,1.0,0.0,-1.0,1.0
1565915331641000.0,1.0001,3.0,0.0,1.0,0.0,-1.0,1.0
1565915331688000.0,1.00014,3.0,0.0,1.0,0.0,-1.0,1.0
1565915333500000.0,1.00017,3.0,0.0,1.0,0.0,-1.0,1.0
1565915333500000.0,1.00002,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915333750000.0,1.00021,3.0,0.0,1.0,0.0,-1.0,1.0
1565915333750000.0,1.00006,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915333153000.0,1.00024,3.0,0.0,1.0,0.0,-1.0,1.0
1565915333153000.0,1.00009,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915333166000.0,1.00028,3.0,0.0,1.0,0.0,-1.0,1.0
1565915333166000.0,1.00013,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915333179000.0,1.00003,3.0,0.0,1.0,0.0,-1.0,1.0
1565915333187000.0,1.00007,3.0,0.0,1.0,0.0,-1.0,1.0
1565915333544000.0,1.0001,3.0,0.0,1.0,0.0,-1.0,1.0
1565915333585000.0,1.00014,3.0,0.0,1.0,0.0,-1.0,1.0
1565915333791000.0,1.00017,3.0,0.0,1.0,0.0,-1.0,1.0
1565915333791000.0,1.00003,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915333812000.0,1.00021,3.0,0.0,1.0,0.0,-1.0,1.0
1565915333812000.0,1.00006,6.0,-1.0,1.0,1.0,-1.0,0.0
